,lat,lon,value,year,hot days
18999,47.5625,7.583333333333333,0,1981,8
41219,47.5625,7.583333333333333,0,1982,3
63439,47.5625,7.583333333333333,0,1983,5
85659,47.5625,7.583333333333333,0,1984,3
107879,47.5625,7.583333333333333,0,1985,23
130099,47.5625,7.583333333333333,1,1986,26
152319,47.5625,7.583333333333333,0,1987,12
174539,47.5625,7.583333333333333,1,1988,16
196759,47.5625,7.583333333333333,0,1989,3
218979,47.5625,7.583333333333333,0,1990,9
241199,47.5625,7.583333333333333,0,1991,25
263419,47.5625,7.583333333333333,0,1992,11
285639,47.5625,7.583333333333333,0,1993,4
307859,47.5625,7.583333333333333,0,1994,3
330079,47.5625,7.583333333333333,0,1995,24
352299,47.5625,7.583333333333333,0,1996,8
374519,47.5625,7.583333333333333,2,1997,8
396739,47.5625,7.583333333333333,0,1998,13
418959,47.5625,7.583333333333333,4,1999,22
441179,47.5625,7.583333333333333,2,2000,22
463399,47.5625,7.583333333333333,0,2001,13
485619,47.5625,7.583333333333333,0,2002,9
507839,47.5625,7.583333333333333,0,2003,7
530059,47.5625,7.583333333333333,1,2004,17
552279,47.5625,7.583333333333333,3,2005,27
574499,47.5625,7.583333333333333,0,2006,5
596719,47.5625,7.583333333333333,0,2007,15
618939,47.5625,7.583333333333333,4,2008,17
641159,47.5625,7.583333333333333,0,2009,10
663379,47.5625,7.583333333333333,4,2010,17
685599,47.5625,7.583333333333333,0,2011,9
707819,47.5625,7.583333333333333,1,2012,18
730039,47.5625,7.583333333333333,3,2013,7
752259,47.5625,7.583333333333333,2,2014,19
774479,47.5625,7.583333333333333,2,2015,20
796699,47.5625,7.583333333333333,7,2016,26
818919,47.5625,7.583333333333333,3,2017,18
841139,47.5625,7.583333333333333,5,2018,25
863359,47.5625,7.583333333333333,0,2019,17
885579,47.5625,7.583333333333333,8,2020,41
907799,47.5625,7.583333333333333,7,2021,16
930019,47.5625,7.583333333333333,0,2022,7
952239,47.5625,7.583333333333333,5,2023,13
974459,47.5625,7.583333333333333,2,2024,23
996679,47.5625,7.583333333333333,9,2025,18
1018899,47.5625,7.583333333333333,11,2026,39
1041119,47.5625,7.583333333333333,11,2027,25
1063339,47.5625,7.583333333333333,1,2028,3
1085559,47.5625,7.583333333333333,4,2029,13
1107779,47.5625,7.583333333333333,3,2030,20
1129999,47.5625,7.583333333333333,3,2031,15
1152219,47.5625,7.583333333333333,0,2032,5
1174439,47.5625,7.583333333333333,6,2033,27
1196659,47.5625,7.583333333333333,5,2034,29
1218879,47.5625,7.583333333333333,7,2035,20
1241099,47.5625,7.583333333333333,3,2036,14
1263319,47.5625,7.583333333333333,0,2037,6
1285539,47.5625,7.583333333333333,7,2038,19
1307759,47.5625,7.583333333333333,11,2039,28
1329979,47.5625,7.583333333333333,0,2040,23
1352199,47.5625,7.583333333333333,7,2041,28
1374419,47.5625,7.583333333333333,2,2042,20
1396639,47.5625,7.583333333333333,2,2043,16
1418859,47.5625,7.583333333333333,2,2044,18
1441079,47.5625,7.583333333333333,1,2045,7
1463299,47.5625,7.583333333333333,7,2046,26
1485519,47.5625,7.583333333333333,2,2047,19
1507739,47.5625,7.583333333333333,0,2048,7
1529959,47.5625,7.583333333333333,0,2049,3
1552179,47.5625,7.583333333333333,2,2050,12
1574399,47.5625,7.583333333333333,8,2051,27
1596619,47.5625,7.583333333333333,2,2052,8
1618839,47.5625,7.583333333333333,13,2053,40
1641059,47.5625,7.583333333333333,2,2054,14
1663279,47.5625,7.583333333333333,7,2055,29
1685499,47.5625,7.583333333333333,0,2056,7
1707719,47.5625,7.583333333333333,0,2057,21
1729939,47.5625,7.583333333333333,0,2058,10
1752159,47.5625,7.583333333333333,5,2059,25
1774379,47.5625,7.583333333333333,0,2060,2
1796599,47.5625,7.583333333333333,3,2061,14
1818819,47.5625,7.583333333333333,0,2062,13
1841039,47.5625,7.583333333333333,2,2063,13
1863259,47.5625,7.583333333333333,0,2064,12
1885479,47.5625,7.583333333333333,1,2065,7
1907699,47.5625,7.583333333333333,4,2066,17
1929919,47.5625,7.583333333333333,5,2067,25
1952139,47.5625,7.583333333333333,11,2068,24
1974359,47.5625,7.583333333333333,1,2069,29
1996579,47.5625,7.583333333333333,9,2070,32
2018799,47.5625,7.583333333333333,8,2071,34
2041019,47.5625,7.583333333333333,11,2072,32
2063239,47.5625,7.583333333333333,12,2073,32
2085459,47.5625,7.583333333333333,4,2074,11
2107679,47.5625,7.583333333333333,6,2075,21
2129899,47.5625,7.583333333333333,3,2076,29
2152119,47.5625,7.583333333333333,0,2077,6
2174339,47.5625,7.583333333333333,1,2078,31
2196559,47.5625,7.583333333333333,25,2079,50
2218779,47.5625,7.583333333333333,13,2080,34
2240999,47.5625,7.583333333333333,6,2081,28
2263219,47.5625,7.583333333333333,0,2082,8
2285439,47.5625,7.583333333333333,1,2083,12
2307659,47.5625,7.583333333333333,3,2084,12
2329879,47.5625,7.583333333333333,2,2085,20
2352099,47.5625,7.583333333333333,8,2086,14
2374319,47.5625,7.583333333333333,0,2087,3
2396539,47.5625,7.583333333333333,6,2088,27
2418759,47.5625,7.583333333333333,0,2089,18
2440979,47.5625,7.583333333333333,0,2090,14
2463199,47.5625,7.583333333333333,7,2091,24
2485419,47.5625,7.583333333333333,4,2092,22
2507639,47.5625,7.583333333333333,0,2093,8
2529859,47.5625,7.583333333333333,4,2094,21
2552079,47.5625,7.583333333333333,0,2095,8
2574299,47.5625,7.583333333333333,9,2096,26
2596519,47.5625,7.583333333333333,7,2097,20
2618739,47.5625,7.583333333333333,4,2098,16
2640959,47.5625,7.583333333333333,2,2099,20
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
