,lat,lon,value,year,hot_days
12612,46.958333333333336,7.4375,0,1981,1
34832,46.958333333333336,7.4375,0,1982,2
57052,46.958333333333336,7.4375,0,1983,2
79272,46.958333333333336,7.4375,0,1984,1
101492,46.958333333333336,7.4375,0,1985,9
123712,46.958333333333336,7.4375,0,1986,11
145932,46.958333333333336,7.4375,0,1987,2
168152,46.958333333333336,7.4375,0,1988,6
190372,46.958333333333336,7.4375,0,1989,1
212592,46.958333333333336,7.4375,0,1990,5
234812,46.958333333333336,7.4375,0,1991,10
257032,46.958333333333336,7.4375,0,1992,5
279252,46.958333333333336,7.4375,0,1993,4
301472,46.958333333333336,7.4375,0,1994,2
323692,46.958333333333336,7.4375,0,1995,14
345912,46.958333333333336,7.4375,0,1996,4
368132,46.958333333333336,7.4375,0,1997,5
390352,46.958333333333336,7.4375,0,1998,4
412572,46.958333333333336,7.4375,0,1999,15
434792,46.958333333333336,7.4375,0,2000,14
457012,46.958333333333336,7.4375,0,2001,4
479232,46.958333333333336,7.4375,0,2002,4
501452,46.958333333333336,7.4375,0,2003,1
523672,46.958333333333336,7.4375,0,2004,7
545892,46.958333333333336,7.4375,0,2005,21
568112,46.958333333333336,7.4375,0,2006,1
590332,46.958333333333336,7.4375,0,2007,11
612552,46.958333333333336,7.4375,0,2008,14
634772,46.958333333333336,7.4375,0,2009,5
656992,46.958333333333336,7.4375,0,2010,8
679212,46.958333333333336,7.4375,0,2011,5
701432,46.958333333333336,7.4375,0,2012,8
723652,46.958333333333336,7.4375,0,2013,5
745872,46.958333333333336,7.4375,0,2014,12
768092,46.958333333333336,7.4375,0,2015,10
790312,46.958333333333336,7.4375,0,2016,15
812532,46.958333333333336,7.4375,0,2017,8
834752,46.958333333333336,7.4375,0,2018,17
856972,46.958333333333336,7.4375,0,2019,12
879192,46.958333333333336,7.4375,0,2020,32
901412,46.958333333333336,7.4375,0,2021,11
923632,46.958333333333336,7.4375,0,2022,1
945852,46.958333333333336,7.4375,0,2023,9
968072,46.958333333333336,7.4375,0,2024,14
990292,46.958333333333336,7.4375,3,2025,13
1012512,46.958333333333336,7.4375,0,2026,24
1034732,46.958333333333336,7.4375,0,2027,13
1056952,46.958333333333336,7.4375,0,2028,2
1079172,46.958333333333336,7.4375,0,2029,10
1101392,46.958333333333336,7.4375,0,2030,15
1123612,46.958333333333336,7.4375,0,2031,11
1145832,46.958333333333336,7.4375,0,2032,4
1168052,46.958333333333336,7.4375,3,2033,20
1190272,46.958333333333336,7.4375,0,2034,22
1212492,46.958333333333336,7.4375,0,2035,17
1234712,46.958333333333336,7.4375,0,2036,11
1256932,46.958333333333336,7.4375,0,2037,1
1279152,46.958333333333336,7.4375,0,2038,13
1301372,46.958333333333336,7.4375,0,2039,22
1323592,46.958333333333336,7.4375,0,2040,4
1345812,46.958333333333336,7.4375,0,2041,14
1368032,46.958333333333336,7.4375,0,2042,9
1390252,46.958333333333336,7.4375,0,2043,6
1412472,46.958333333333336,7.4375,0,2044,10
1434692,46.958333333333336,7.4375,0,2045,7
