,lat,lon,value,year,hot days
4630,46.208333333333336,6.145833333333333,0,1981,7
26850,46.208333333333336,6.145833333333333,0,1982,2
49070,46.208333333333336,6.145833333333333,0,1983,5
71290,46.208333333333336,6.145833333333333,0,1984,1
93510,46.208333333333336,6.145833333333333,0,1985,20
115730,46.208333333333336,6.145833333333333,1,1986,33
137950,46.208333333333336,6.145833333333333,0,1987,13
160170,46.208333333333336,6.145833333333333,0,1988,19
182390,46.208333333333336,6.145833333333333,0,1989,1
204610,46.208333333333336,6.145833333333333,0,1990,11
226830,46.208333333333336,6.145833333333333,1,1991,25
249050,46.208333333333336,6.145833333333333,0,1992,13
271270,46.208333333333336,6.145833333333333,0,1993,7
293490,46.208333333333336,6.145833333333333,0,1994,7
315710,46.208333333333336,6.145833333333333,0,1995,34
337930,46.208333333333336,6.145833333333333,1,1996,10
360150,46.208333333333336,6.145833333333333,1,1997,10
382370,46.208333333333336,6.145833333333333,0,1998,11
404590,46.208333333333336,6.145833333333333,6,1999,24
426810,46.208333333333336,6.145833333333333,1,2000,28
449030,46.208333333333336,6.145833333333333,0,2001,15
471250,46.208333333333336,6.145833333333333,0,2002,16
493470,46.208333333333336,6.145833333333333,0,2003,6
515690,46.208333333333336,6.145833333333333,1,2004,16
537910,46.208333333333336,6.145833333333333,1,2005,39
560130,46.208333333333336,6.145833333333333,0,2006,7
582350,46.208333333333336,6.145833333333333,1,2007,20
604570,46.208333333333336,6.145833333333333,3,2008,24
626790,46.208333333333336,6.145833333333333,0,2009,19
649010,46.208333333333336,6.145833333333333,1,2010,24
671230,46.208333333333336,6.145833333333333,0,2011,14
693450,46.208333333333336,6.145833333333333,0,2012,26
715670,46.208333333333336,6.145833333333333,4,2013,8
737890,46.208333333333336,6.145833333333333,1,2014,23
760110,46.208333333333336,6.145833333333333,0,2015,24
782330,46.208333333333336,6.145833333333333,1,2016,42
804550,46.208333333333336,6.145833333333333,1,2017,17
826770,46.208333333333336,6.145833333333333,2,2018,29
848990,46.208333333333336,6.145833333333333,0,2019,34
871210,46.208333333333336,6.145833333333333,7,2020,55
893430,46.208333333333336,6.145833333333333,1,2021,12
915650,46.208333333333336,6.145833333333333,0,2022,2
937870,46.208333333333336,6.145833333333333,1,2023,13
960090,46.208333333333336,6.145833333333333,2,2024,35
982310,46.208333333333336,6.145833333333333,7,2025,22
1004530,46.208333333333336,6.145833333333333,2,2026,47
1026750,46.208333333333336,6.145833333333333,2,2027,28
1048970,46.208333333333336,6.145833333333333,0,2028,7
1071190,46.208333333333336,6.145833333333333,1,2029,17
1093410,46.208333333333336,6.145833333333333,0,2030,20
1115630,46.208333333333336,6.145833333333333,4,2031,25
1137850,46.208333333333336,6.145833333333333,0,2032,6
1160070,46.208333333333336,6.145833333333333,6,2033,35
1182290,46.208333333333336,6.145833333333333,3,2034,31
1204510,46.208333333333336,6.145833333333333,3,2035,33
1226730,46.208333333333336,6.145833333333333,3,2036,23
1248950,46.208333333333336,6.145833333333333,0,2037,5
1271170,46.208333333333336,6.145833333333333,2,2038,22
1293390,46.208333333333336,6.145833333333333,6,2039,28
1315610,46.208333333333336,6.145833333333333,1,2040,22
1337830,46.208333333333336,6.145833333333333,6,2041,32
1360050,46.208333333333336,6.145833333333333,1,2042,16
1382270,46.208333333333336,6.145833333333333,1,2043,24
1404490,46.208333333333336,6.145833333333333,0,2044,14
1426710,46.208333333333336,6.145833333333333,1,2045,12
1448930,46.208333333333336,6.145833333333333,3,2046,34
1471150,46.208333333333336,6.145833333333333,0,2047,25
1493370,46.208333333333336,6.145833333333333,0,2048,10
1515590,46.208333333333336,6.145833333333333,0,2049,8
1537810,46.208333333333336,6.145833333333333,2,2050,19
1560030,46.208333333333336,6.145833333333333,5,2051,26
1582250,46.208333333333336,6.145833333333333,2,2052,19
1604470,46.208333333333336,6.145833333333333,10,2053,49
1626690,46.208333333333336,6.145833333333333,1,2054,18
1648910,46.208333333333336,6.145833333333333,8,2055,32
1671130,46.208333333333336,6.145833333333333,0,2056,9
1693350,46.208333333333336,6.145833333333333,0,2057,24
1715570,46.208333333333336,6.145833333333333,0,2058,16
1737790,46.208333333333336,6.145833333333333,4,2059,38
1760010,46.208333333333336,6.145833333333333,0,2060,2
1782230,46.208333333333336,6.145833333333333,2,2061,17
1804450,46.208333333333336,6.145833333333333,1,2062,18
1826670,46.208333333333336,6.145833333333333,4,2063,18
1848890,46.208333333333336,6.145833333333333,0,2064,10
1871110,46.208333333333336,6.145833333333333,1,2065,9
1893330,46.208333333333336,6.145833333333333,5,2066,30
1915550,46.208333333333336,6.145833333333333,5,2067,29
1937770,46.208333333333336,6.145833333333333,3,2068,24
1959990,46.208333333333336,6.145833333333333,1,2069,37
1982210,46.208333333333336,6.145833333333333,7,2070,33
2004430,46.208333333333336,6.145833333333333,7,2071,46
2026650,46.208333333333336,6.145833333333333,8,2072,36
2048870,46.208333333333336,6.145833333333333,7,2073,40
2071090,46.208333333333336,6.145833333333333,5,2074,16
2093310,46.208333333333336,6.145833333333333,5,2075,24
2115530,46.208333333333336,6.145833333333333,3,2076,36
2137750,46.208333333333336,6.145833333333333,0,2077,8
2159970,46.208333333333336,6.145833333333333,2,2078,44
2182190,46.208333333333336,6.145833333333333,19,2079,53
2204410,46.208333333333336,6.145833333333333,11,2080,42
2226630,46.208333333333336,6.145833333333333,5,2081,30
2248850,46.208333333333336,6.145833333333333,0,2082,9
2271070,46.208333333333336,6.145833333333333,1,2083,15
2293290,46.208333333333336,6.145833333333333,1,2084,12
2315510,46.208333333333336,6.145833333333333,2,2085,24
2337730,46.208333333333336,6.145833333333333,4,2086,20
2359950,46.208333333333336,6.145833333333333,0,2087,4
2382170,46.208333333333336,6.145833333333333,3,2088,29
2404390,46.208333333333336,6.145833333333333,0,2089,18
2426610,46.208333333333336,6.145833333333333,1,2090,22
2448830,46.208333333333336,6.145833333333333,6,2091,29
2471050,46.208333333333336,6.145833333333333,2,2092,29
2493270,46.208333333333336,6.145833333333333,0,2093,9
2515490,46.208333333333336,6.145833333333333,1,2094,24
2537710,46.208333333333336,6.145833333333333,0,2095,8
2559930,46.208333333333336,6.145833333333333,8,2096,35
2582150,46.208333333333336,6.145833333333333,4,2097,33
2604370,46.208333333333336,6.145833333333333,3,2098,16
2626590,46.208333333333336,6.145833333333333,2,2099,23
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
