,lat,lon,value,year,hot days
7953,46.520833333333336,6.625,0,1981,1
30173,46.520833333333336,6.625,0,1982,0
52393,46.520833333333336,6.625,0,1983,1
74613,46.520833333333336,6.625,0,1984,0
96833,46.520833333333336,6.625,6,1985,12
119053,46.520833333333336,6.625,7,1986,12
141273,46.520833333333336,6.625,0,1987,2
163493,46.520833333333336,6.625,2,1988,1
185713,46.520833333333336,6.625,0,1989,0
207933,46.520833333333336,6.625,0,1990,2
230153,46.520833333333336,6.625,5,1991,10
252373,46.520833333333336,6.625,6,1992,7
274593,46.520833333333336,6.625,0,1993,0
296813,46.520833333333336,6.625,0,1994,0
319033,46.520833333333336,6.625,5,1995,14
341253,46.520833333333336,6.625,3,1996,3
363473,46.520833333333336,6.625,4,1997,5
385693,46.520833333333336,6.625,4,1998,0
407913,46.520833333333336,6.625,8,1999,15
430133,46.520833333333336,6.625,8,2000,12
452353,46.520833333333336,6.625,0,2001,1
474573,46.520833333333336,6.625,0,2002,3
496793,46.520833333333336,6.625,3,2003,1
519013,46.520833333333336,6.625,5,2004,6
541233,46.520833333333336,6.625,7,2005,24
563453,46.520833333333336,6.625,0,2006,2
585673,46.520833333333336,6.625,8,2007,7
607893,46.520833333333336,6.625,14,2008,15
630113,46.520833333333336,6.625,1,2009,3
652333,46.520833333333336,6.625,9,2010,9
674553,46.520833333333336,6.625,7,2011,3
696773,46.520833333333336,6.625,6,2012,4
718993,46.520833333333336,6.625,5,2013,3
741213,46.520833333333336,6.625,5,2014,7
763433,46.520833333333336,6.625,12,2015,8
785653,46.520833333333336,6.625,15,2016,20
807873,46.520833333333336,6.625,7,2017,6
830093,46.520833333333336,6.625,12,2018,16
852313,46.520833333333336,6.625,5,2019,10
874533,46.520833333333336,6.625,26,2020,36
896753,46.520833333333336,6.625,9,2021,11
918973,46.520833333333336,6.625,0,2022,0
941193,46.520833333333336,6.625,10,2023,3
963413,46.520833333333336,6.625,14,2024,7
985633,46.520833333333336,6.625,14,2025,13
1007853,46.520833333333336,6.625,22,2026,26
1030073,46.520833333333336,6.625,15,2027,17
1052293,46.520833333333336,6.625,2,2028,2
1074513,46.520833333333336,6.625,8,2029,6
1096733,46.520833333333336,6.625,5,2030,9
1118953,46.520833333333336,6.625,8,2031,12
1141173,46.520833333333336,6.625,0,2032,0
1163393,46.520833333333336,6.625,12,2033,27
1185613,46.520833333333336,6.625,13,2034,19
1207833,46.520833333333336,6.625,14,2035,15
1230053,46.520833333333336,6.625,7,2036,8
1252273,46.520833333333336,6.625,0,2037,1
1274493,46.520833333333336,6.625,14,2038,12
1296713,46.520833333333336,6.625,22,2039,21
1318933,46.520833333333336,6.625,7,2040,3
1341153,46.520833333333336,6.625,18,2041,14
1363373,46.520833333333336,6.625,5,2042,6
1385593,46.520833333333336,6.625,5,2043,8
1407813,46.520833333333336,6.625,5,2044,8
1430033,46.520833333333336,6.625,3,2045,5
