,lat,lon,value,year,hot days
17065,47.375,8.5416666666666661,0,1981,1
39285,47.375,8.5416666666666661,0,1982,0
61505,47.375,8.5416666666666661,0,1983,3
83725,47.375,8.5416666666666661,0,1984,1
105945,47.375,8.5416666666666661,0,1985,12
128165,47.375,8.5416666666666661,0,1986,19
150385,47.375,8.5416666666666661,0,1987,10
172605,47.375,8.5416666666666661,0,1988,8
194825,47.375,8.5416666666666661,0,1989,3
217045,47.375,8.5416666666666661,0,1990,7
239265,47.375,8.5416666666666661,0,1991,20
261485,47.375,8.5416666666666661,0,1992,8
283705,47.375,8.5416666666666661,0,1993,5
305925,47.375,8.5416666666666661,0,1994,5
328145,47.375,8.5416666666666661,0,1995,21
350365,47.375,8.5416666666666661,0,1996,2
372585,47.375,8.5416666666666661,0,1997,8
394805,47.375,8.5416666666666661,0,1998,8
417025,47.375,8.5416666666666661,0,1999,13
439245,47.375,8.5416666666666661,0,2000,17
461465,47.375,8.5416666666666661,0,2001,8
483685,47.375,8.5416666666666661,0,2002,5
505905,47.375,8.5416666666666661,0,2003,4
528125,47.375,8.5416666666666661,0,2004,10
550345,47.375,8.5416666666666661,0,2005,23
572565,47.375,8.5416666666666661,0,2006,5
594785,47.375,8.5416666666666661,0,2007,13
617005,47.375,8.5416666666666661,0,2008,16
639225,47.375,8.5416666666666661,0,2009,4
661445,47.375,8.5416666666666661,0,2010,12
683665,47.375,8.5416666666666661,0,2011,8
705885,47.375,8.5416666666666661,0,2012,11
728105,47.375,8.5416666666666661,0,2013,5
750325,47.375,8.5416666666666661,0,2014,15
772545,47.375,8.5416666666666661,0,2015,22
794765,47.375,8.5416666666666661,0,2016,25
816985,47.375,8.5416666666666661,0,2017,13
839205,47.375,8.5416666666666661,1,2018,16
861425,47.375,8.5416666666666661,0,2019,13
883645,47.375,8.5416666666666661,0,2020,41
905865,47.375,8.5416666666666661,1,2021,13
928085,47.375,8.5416666666666661,0,2022,1
950305,47.375,8.5416666666666661,0,2023,11
972525,47.375,8.5416666666666661,0,2024,13
994745,47.375,8.5416666666666661,3,2025,16
1016965,47.375,8.5416666666666661,0,2026,35
1039185,47.375,8.5416666666666661,0,2027,20
1061405,47.375,8.5416666666666661,0,2028,1
